Name,Longitude,Lattitude,Language
Afghanistan,69.1761,34.5553,Pashto
Albania,19.8172,41.3275,Albanian
Algeria,3.0588,36.7538,Arabic
Andorra,1.5218,42.5063,Catalan
Angola,13.2343,-8.8383,Portuguese
Antigua and Barbuda,-61.8456,17.1274,English
Argentina,-58.3816,-34.6037,Spanish
Armenia,44.5152,40.1792,Armenian
Australia,149.13,-35.2809,English
Austria,16.3738,48.2082,German
Azerbaijan,49.8671,40.4093,Azerbaijani
Bahamas,-77.3963,25.048,English
Bahrain,50.586,26.2285,Arabic
Bangladesh,90.4125,23.8103,Bengali
Barbados,-59.6132,13.1132,English
Belarus,27.559,53.9006,Belarusian
Belgium,4.3517,50.8503,Dutch
Belize,-88.7713,17.251,English
Benin,2.6323,6.4969,French
Bhutan,89.639,27.4728,Dzongkha
Bolivia,-68.1193,-16.4897,Spanish
Bosnia and Herzegovina,18.4131,43.8563,Bosnian
Botswana,25.9231,-24.6282,Setswana
Brazil,-47.8825,-15.7942,Portuguese
Brunei,114.9481,4.9031,Malay
Bulgaria,23.3219,42.6977,Bulgarian
Burkina Faso,-1.5197,12.3714,French
Burundi,29.3599,-3.3822,Kirundi
Cabo Verde,-23.5087,14.933,Portuguese
Cambodia,104.916,11.5564,Khmer
Cameroon,11.5021,3.848,French
Canada,-75.6972,45.4215,English
Central African Republic,18.5582,4.3947,Sango
Chad,15.0557,12.1348,Arabic
Chile,-70.6483,-33.4489,Spanish
China,116.4074,39.9042,Mandarin Chinese
Colombia,-74.0721,4.711,Spanish
Comoros,43.2418,-11.7022,Comorian
Costa Rica,-84.0907,9.9281,Spanish
Croatia,15.9819,45.815,Croatian
Cuba,-82.3666,23.1136,Spanish
Cyprus,33.3823,35.1856,Greek
Czech Republic,14.4378,50.0755,Czech
Democratic Republic of the Congo,15.2663,-4.4419,French
Denmark,12.5683,55.6761,Danish
Djibouti,43.1456,11.8251,Arabic
Dominica,-61.371,15.415,English
Dominican Republic,-69.9312,18.4861,Spanish
Ecuador,-78.4678,-0.1807,Spanish
Egypt,31.2357,30.0444,Arabic
El Salvador,-89.2182,13.6929,Spanish
Equatorial Guinea,8.7832,3.7504,Spanish
Eritrea,38.9318,15.3229,Tigrinya
Estonia,24.7536,59.437,Estonian
Eswatini,31.1367,-26.3054,Swati
Ethiopia,38.7469,9.032,Amharic
Fiji,178.4419,-18.1416,English
Finland,24.9384,60.1699,Finnish
France,2.3522,48.8566,French
Gabon,9.4673,0.4162,French
Gambia,-16.578,13.4549,English
Georgia,44.793,41.7151,Georgian
Germany,13.405,52.52,German
Ghana,-0.187,5.6037,English
Greece,23.7275,37.9838,Greek
Grenada,-61.7484,12.0561,English
Guatemala,-90.5069,14.6349,Spanish
Guinea,-13.7122,9.6412,French
Guinea-Bissau,-15.5804,11.8636,Portuguese
Guyana,-58.1551,6.8013,English
Haiti,-72.3074,18.5944,Haitian Creole
Honduras,-87.2068,14.0723,Spanish
Hungary,19.0402,47.4979,Hungarian
Iceland,-21.9426,64.1466,Icelandic
India,77.209,28.6139,Hindi
Indonesia,106.8456,-6.2088,Indonesian
Iran,51.389,35.6892,Persian
Iraq,44.3661,33.3152,Arabic
Ireland,-6.2603,53.3498,English
Israel,35.2137,31.7683,Hebrew
Italy,12.4964,41.9028,Italian
Ivory Coast,-4.0305,5.3599,French
Jamaica,-76.7936,17.9714,English
Japan,139.6917,35.6895,Japanese
Jordan,35.9106,31.9454,Arabic
Kazakhstan,71.4704,51.1694,Kazakh
Kenya,36.8219,-1.2921,Swahili
Kiribati,172.9717,1.3291,English
Kosovo,21.1655,42.6629,Albanian
Kuwait,47.9774,29.3759,Arabic
Kyrgyzstan,74.5698,42.8746,Kyrgyz
Laos,102.6331,17.9757,Lao
Latvia,24.1052,56.9496,Latvian
Lebanon,35.5018,33.8938,Arabic
Lesotho,27.4833,-29.3167,Sesotho
Liberia,-10.7969,6.3004,English
Libya,13.1913,32.8872,Arabic
Liechtenstein,9.5215,47.166,German
Lithuania,25.2797,54.6872,Lithuanian
Luxembourg,6.1319,49.6116,Luxembourgish
Madagascar,47.5079,-18.8792,Malagasy
Malawi,33.7741,-13.9626,Chichewa
Malaysia,101.6869,3.139,Malay
Maldives,73.5093,4.1755,Dhivehi
Mali,-8.0029,12.6392,French
Malta,14.5146,35.8989,Maltese
Marshall Islands,171.1845,7.1164,Marshallese
Mauritania,-15.9785,18.0735,Arabic
Mauritius,57.5522,-20.1609,English
Mexico,-99.1332,19.4326,Spanish
Micronesia,158.161,6.9248,English
Moldova,28.8575,47.0105,Romanian
Monaco,7.4246,43.7384,French
Mongolia,106.9057,47.8864,Mongolian
Montenegro,19.2636,42.4304,Montenegrin
Morocco,-6.8498,34.0209,Arabic
Mozambique,32.5732,-25.9692,Portuguese
Myanmar,96.1951,16.8661,Burmese
Namibia,17.0832,-22.5609,English
Nauru,166.9315,-0.5228,Nauruan
Nepal,85.324,27.7172,Nepali
Netherlands,4.9041,52.3676,Dutch
New Zealand,174.7762,-41.2865,English
Nicaragua,-86.2504,12.1364,Spanish
Niger,2.1098,13.5127,French
Nigeria,7.4951,9.0765,English
North Korea,125.7625,39.0392,Korean
North Macedonia,21.4254,41.9981,Macedonian
Norway,10.7522,59.9139,Norwegian
Oman,58.4059,23.5859,Arabic
Pakistan,73.0479,33.6844,Urdu
Palau,134.6242,7.515,Palauan
Palestine,35.2332,31.9522,Arabic
Panama,-79.5199,8.9824,Spanish
Papua New Guinea,147.1803,-9.4438,English
Paraguay,-57.5759,-25.2637,Spanish
Peru,-77.0428,-12.0464,Spanish
Philippines,120.9842,14.5995,Filipino
Poland,21.0122,52.2297,Polish
Portugal,-9.1393,38.7223,Portuguese
Qatar,51.531,25.2854,Arabic
Republic of the Congo,15.2429,-4.2634,French
Romania,26.1025,44.4268,Romanian
Russia,37.6173,55.7558,Russian
Rwanda,30.0619,-1.9403,Kinyarwanda
Saint Kitts and Nevis,-62.7177,17.3026,English
Saint Lucia,-60.9789,14.0101,English
Saint Vincent and the Grenadines,-61.2248,13.1587,English
Samoa,-171.7513,-13.8506,Samoan
San Marino,12.4578,43.9424,Italian
Sao Tome and Principe,6.7273,0.3365,Portuguese
Saudi Arabia,46.6753,24.7136,Arabic
Senegal,-17.4676,14.7167,French
Serbia,20.4573,44.7866,Serbian
Seychelles,55.452,-4.6796,Seychellois Creole
Sierra Leone,-13.2317,8.4657,English
Singapore,103.8198,1.3521,English
Slovakia,17.1077,48.1486,Slovak
Slovenia,14.5058,46.0569,Slovenian
Solomon Islands,159.9498,-9.4456,English
Somalia,45.3182,2.0469,Somali
South Africa,28.1871,-25.7461,Zulu
South Korea,126.978,37.5665,Korean
South Sudan,31.5825,4.8517,English
Spain,-3.7038,40.4168,Spanish
Sri Lanka,79.8612,6.9271,Sinhala
Sudan,32.5599,15.5007,Arabic
Suriname,-55.1679,5.852,Dutch
Sweden,18.0686,59.3293,Swedish
Switzerland,7.4474,46.948,German
Syria,36.2765,33.5138,Arabic
Taiwan,121.5654,25.033,Mandarin Chinese
Tajikistan,68.787,38.5598,Tajik
Tanzania,39.2083,-6.7924,Swahili
Thailand,100.5018,13.7563,Thai
Timor-Leste,125.5736,-8.5569,Tetum
Togo,1.2255,6.1725,French
Tonga,-175.2018,-21.1789,Tongan
Trinidad and Tobago,-61.5085,10.6549,English
Tunisia,10.1815,36.8065,Arabic
Turkey,32.8597,39.9334,Turkish
Turkmenistan,58.3833,37.9601,Turkmen
Tuvalu,179.1942,-8.5211,Tuvaluan
Uganda,32.5825,0.3476,English
Ukraine,30.5234,50.4501,Ukrainian
United Arab Emirates,54.3773,24.4539,Arabic
United Kingdom,-0.1278,51.5074,English
United States,-77.0369,38.9072,English
Uruguay,-56.1645,-34.9011,Spanish
Uzbekistan,69.2401,41.2995,Uzbek
Vanuatu,168.3273,-17.7333,Bislama
Vatican City,12.4534,41.9029,Italian
Venezuela,-66.9036,10.4806,Spanish
Vietnam,105.8342,21.0278,Vietnamese
Yemen,44.2075,15.3694,Arabic
Zambia,28.2871,-15.3875,English
Zimbabwe,31.0492,-17.8252,English
